Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Bosnia and Herzegovina,DDU Courier, £ 22.36 , £ 23.36 , £ 24.53 , £ 25.54 , £ 26.54 , £ 27.56 , £ 28.56 , £ 29.57 , £ 31.69 , £ 33.71 , £ 35.72 , £ 37.74 , £ 39.75 , £ 41.77 , £ 44.16 , £ 46.17 , £ 48.19 , £ 50.20 , £ 52.22 , £ 54.24 , £ 56.25 , £ 58.27 , £ 60.28 , £ 62.30 , £ 82.75 , £ 102.90 ,,
Botswana,DDU Courier, £ 28.48 , £ 29.78 , £ 31.26 , £ 32.56 , £ 33.87 , £ 35.19 , £ 36.49 , £ 37.80 , £ 40.53 , £ 43.14 , £ 45.77 , £ 48.38 , £ 51.00 , £ 53.62 , £ 56.62 , £ 59.24 , £ 61.86 , £ 64.48 , £ 67.09 , £ 69.72 , £ 72.33 , £ 74.94 , £ 77.57 , £ 80.18 , £ 106.66 , £ 132.83 ,,
Brazil,DDU Courier, £ 10.57 , £ 12.91 , £ 15.41 , £ 17.75 , £ 20.09 , £ 22.42 , £ 24.77 , £ 27.11 , £ 42.49 , £ 44.85 , £ 47.19 , £ 49.53 , £ 51.89 , £ 54.24 , £ 56.98 , £ 59.33 , £ 61.68 , £ 64.03 , £ 66.37 , £ 68.73 , £ 71.07 , £ 73.42 , £ 75.78 , £ 78.12 , £ 101.93 , £ 125.41 ,,
Brunei Darussalam,DDU Courier, £ 22.54 , £ 25.30 , £ 28.35 , £ 31.11 , £ 33.87 , £ 36.65 , £ 39.41 , £ 42.17 , £ 47.91 , £ 53.44 , £ 58.98 , £ 64.51 , £ 70.04 , £ 75.58 , £ 81.76 , £ 87.30 , £ 92.84 , £ 98.36 , £ 103.90 , £ 109.44 , £ 114.96 , £ 120.50 , £ 126.04 , £ 131.58 , £ 187.44 , £ 242.78 ,,
Burkina Faso,DDU Courier, £ 27.05 , £ 29.05 , £ 31.34 , £ 33.34 , £ 35.34 , £ 37.34 , £ 39.34 , £ 41.35 , £ 45.55 , £ 49.56 , £ 53.56 , £ 57.56 , £ 61.58 , £ 65.58 , £ 70.25 , £ 74.27 , £ 78.27 , £ 82.27 , £ 86.29 , £ 90.29 , £ 94.29 , £ 98.30 , £ 102.31 , £ 106.32 , £ 146.91 , £ 186.98 ,,
Burundi,DDU Courier, £ 36.62 , £ 37.87 , £ 39.31 , £ 40.56 , £ 41.81 , £ 43.08 , £ 44.34 , £ 45.59 , £ 48.23 , £ 50.76 , £ 53.27 , £ 55.79 , £ 58.31 , £ 60.82 , £ 63.76 , £ 66.28 , £ 68.79 , £ 71.31 , £ 73.84 , £ 76.34 , £ 78.87 , £ 81.38 , £ 83.90 , £ 86.41 , £ 111.92 , £ 137.09 ,,
Cabo Verde,DDU Courier, £ 31.69 , £ 35.83 , £ 40.25 , £ 44.38 , £ 48.53 , £ 52.67 , £ 56.82 , £ 60.95 , £ 69.43 , £ 77.72 , £ 86.00 , £ 94.29 , £ 102.56 , £ 110.84 , £ 119.80 , £ 128.07 , £ 136.36 , £ 144.64 , £ 152.93 , £ 161.21 , £ 169.48 , £ 177.77 , £ 186.05 , £ 194.34 , £ 277.70 , £ 360.53 ,,
Cambodia,DDU Courier, £ 10.75 , £ 14.42 , £ 18.38 , £ 22.05 , £ 25.72 , £ 29.39 , £ 33.07 , £ 36.74 , £ 47.64 , £ 52.34 , £ 57.06 , £ 61.77 , £ 66.48 , £ 71.19 , £ 76.61 , £ 81.33 , £ 86.05 , £ 90.75 , £ 95.47 , £ 100.19 , £ 104.89 , £ 109.61 , £ 114.32 , £ 119.03 , £ 166.72 , £ 213.85 ,,
Cameroon,DDU Courier, £ 25.98 , £ 27.29 , £ 28.75 , £ 30.07 , £ 31.36 , £ 32.68 , £ 33.99 , £ 35.29 , £ 38.02 , £ 40.65 , £ 43.26 , £ 45.88 , £ 48.50 , £ 51.12 , £ 54.12 , £ 56.74 , £ 59.36 , £ 61.97 , £ 64.60 , £ 67.21 , £ 69.82 , £ 72.45 , £ 75.06 , £ 77.67 , £ 104.16 , £ 130.33 ,,
Canada,DDU Courier, £ 9.12 , £ 11.36 , £ 13.59 , £ 15.82 , £ 18.06 , £ 20.30 , £ 22.53 , £ 24.77 , £ 35.80 , £ 39.70 , £ 43.61 , £ 47.52 , £ 51.43 , £ 55.34 , £ 59.27 , £ 63.15 , £ 67.07 , £ 70.99 , £ 74.90 , £ 78.79 , £ 82.72 , £ 86.62 , £ 90.54 , £ 94.44 , £ 133.55 , £ 172.65 ,,
Cayman Islands,DDU Courier, £ 30.65 , £ 32.98 , £ 35.57 , £ 37.89 , £ 40.22 , £ 42.55 , £ 44.88 , £ 47.19 , £ 52.04 , £ 56.68 , £ 61.34 , £ 65.98 , £ 70.64 , £ 75.30 , £ 80.58 , £ 85.24 , £ 89.88 , £ 94.54 , £ 99.19 , £ 103.84 , £ 108.49 , £ 113.14 , £ 117.79 , £ 122.44 , £ 169.47 , £ 215.97 ,,
Central African Republic,DDU Courier, £ 30.72 , £ 33.41 , £ 36.38 , £ 39.07 , £ 41.77 , £ 44.46 , £ 47.14 , £ 49.83 , £ 55.43 , £ 60.80 , £ 66.18 , £ 71.57 , £ 76.94 , £ 82.33 , £ 88.41 , £ 93.78 , £ 99.16 , £ 104.54 , £ 109.92 , £ 115.31 , £ 120.68 , £ 126.07 , £ 131.45 , £ 136.82 , £ 191.19 , £ 244.99 ,,
Chad,DDU Courier, £ 28.81 , £ 30.44 , £ 32.25 , £ 33.89 , £ 35.52 , £ 37.16 , £ 38.80 , £ 40.43 , £ 43.83 , £ 47.10 , £ 50.38 , £ 53.65 , £ 56.94 , £ 60.21 , £ 63.88 , £ 67.15 , £ 70.43 , £ 73.70 , £ 76.99 , £ 80.26 , £ 83.54 , £ 86.81 , £ 90.08 , £ 93.36 , £ 126.45 , £ 159.20 ,,
Chile,DDU Courier, £ 10.94 , £ 14.90 , £ 19.02 , £ 22.98 , £ 26.93 , £ 30.90 , £ 34.86 , £ 38.81 , £ 59.89 , £ 65.85 , £ 71.81 , £ 77.78 , £ 83.73 , £ 89.71 , £ 96.07 , £ 102.02 , £ 107.99 , £ 113.95 , £ 119.92 , £ 125.88 , £ 131.85 , £ 137.81 , £ 143.76 , £ 149.73 , £ 209.69 , £ 269.31 ,,
China,DDU Courier, £ 8.58 , £ 10.24 , £ 12.05 , £ 13.70 , £ 15.36 , £ 17.02 , £ 18.68 , £ 20.33 , £ 23.26 , £ 25.92 , £ 28.57 , £ 31.22 , £ 33.87 , £ 36.52 , £ 39.56 , £ 42.20 , £ 44.86 , £ 47.50 , £ 50.16 , £ 52.80 , £ 55.46 , £ 58.12 , £ 60.76 , £ 63.42 , £ 90.23 , £ 116.74 ,,
Colombia,DDU Courier, £ 20.93 , £ 22.39 , £ 24.03 , £ 25.50 , £ 26.98 , £ 28.45 , £ 29.93 , £ 31.39 , £ 34.46 , £ 37.41 , £ 40.35 , £ 43.31 , £ 46.25 , £ 49.19 , £ 52.53 , £ 55.47 , £ 58.43 , £ 61.37 , £ 64.31 , £ 67.27 , £ 70.21 , £ 73.16 , £ 76.11 , £ 79.05 , £ 108.83 , £ 138.30 ,,
Comoros,DDU Courier, £ 24.59 , £ 24.65 , £ 24.98 , £ 25.04 , £ 25.09 , £ 25.17 , £ 25.23 , £ 25.29 , £ 25.60 , £ 25.72 , £ 25.86 , £ 25.98 , £ 26.10 , £ 26.21 , £ 27.01 , £ 27.13 , £ 27.24 , £ 27.36 , £ 27.48 , £ 27.60 , £ 27.74 , £ 27.86 , £ 27.98 , £ 28.10 , £ 29.84 , £ 31.07 ,,
Congo,DDU Courier, £ 16.39 , £ 17.59 , £ 18.94 , £ 20.14 , £ 21.32 , £ 22.51 , £ 23.71 , £ 24.90 , £ 27.39 , £ 29.78 , £ 32.16 , £ 34.53 , £ 36.92 , £ 39.29 , £ 42.08 , £ 44.46 , £ 46.85 , £ 49.22 , £ 51.61 , £ 53.98 , £ 56.37 , £ 58.74 , £ 61.13 , £ 63.51 , £ 87.63 , £ 111.44 ,,
Congo (Democratic Republic of the),DDU Courier, £ 28.13 , £ 29.41 , £ 30.86 , £ 32.16 , £ 33.44 , £ 34.74 , £ 36.02 , £ 37.32 , £ 40.02 , £ 42.61 , £ 45.19 , £ 47.77 , £ 50.35 , £ 52.94 , £ 55.91 , £ 58.49 , £ 61.07 , £ 63.66 , £ 66.24 , £ 68.82 , £ 71.40 , £ 73.99 , £ 76.57 , £ 79.15 , £ 105.31 , £ 131.15 ,,
Cook Islands,DDU Courier, £ 31.95 , £ 36.69 , £ 41.73 , £ 46.47 , £ 51.22 , £ 55.97 , £ 60.71 , £ 65.45 , £ 75.15 , £ 84.65 , £ 94.14 , £ 103.63 , £ 113.13 , £ 122.62 , £ 132.80 , £ 142.30 , £ 151.78 , £ 161.27 , £ 170.77 , £ 180.26 , £ 189.76 , £ 199.25 , £ 208.75 , £ 218.24 , £ 313.72 , £ 408.67 ,,
Costa Rica,DDU Courier, £ 26.01 , £ 27.14 , £ 28.45 , £ 29.59 , £ 30.72 , £ 31.87 , £ 33.01 , £ 34.14 , £ 36.55 , £ 38.83 , £ 41.11 , £ 43.38 , £ 45.67 , £ 47.95 , £ 50.64 , £ 52.91 , £ 55.19 , £ 57.47 , £ 59.74 , £ 62.03 , £ 64.31 , £ 66.58 , £ 68.87 , £ 71.15 , £ 94.26 , £ 117.07 ,,
Curacao,DDU Courier, £ 31.25 , £ 34.10 , £ 37.11 , £ 39.95 , £ 42.80 , £ 45.64 , £ 48.49 , £ 51.32 , £ 57.15 , £ 62.83 , £ 68.52 , £ 74.21 , £ 79.90 , £ 85.59 , £ 91.69 , £ 97.38 , £ 103.07 , £ 108.75 , £ 114.44 , £ 120.13 , £ 125.82 , £ 131.52 , £ 137.21 , £ 142.90 , £ 200.12 , £ 257.01 ,,
Djibouti,DDU Courier, £ 30.25 , £ 31.47 , £ 32.86 , £ 34.08 , £ 35.31 , £ 36.53 , £ 37.75 , £ 38.98 , £ 41.55 , £ 43.99 , £ 46.44 , £ 48.88 , £ 51.32 , £ 53.77 , £ 56.64 , £ 59.09 , £ 61.54 , £ 63.98 , £ 66.42 , £ 68.87 , £ 71.31 , £ 73.76 , £ 76.21 , £ 78.66 , £ 103.45 , £ 127.92 ,,
Dominica,DDU Courier, £ 36.46 , £ 46.38 , £ 56.56 , £ 66.49 , £ 76.40 , £ 86.33 , £ 96.24 , £ 106.17 , £ 126.21 , £ 146.05 , £ 165.89 , £ 185.73 , £ 205.57 , £ 225.42 , £ 245.90 , £ 265.74 , £ 285.58 , £ 305.42 , £ 325.26 , £ 345.10 , £ 364.94 , £ 384.78 , £ 404.64 , £ 424.48 , £ 623.40 , £ 821.83 ,,
Dominican Republic,DDU Courier, £ 24.62 , £ 27.53 , £ 30.60 , £ 33.51 , £ 36.43 , £ 39.34 , £ 42.25 , £ 45.16 , £ 51.10 , £ 56.92 , £ 62.74 , £ 68.58 , £ 74.40 , £ 80.23 , £ 86.44 , £ 92.26 , £ 98.08 , £ 103.90 , £ 109.73 , £ 115.55 , £ 121.37 , £ 127.21 , £ 133.03 , £ 138.85 , £ 197.40 , £ 255.64 ,,
Ecuador,DDU Courier, £ 29.53 , £ 32.11 , £ 34.95 , £ 37.52 , £ 40.10 , £ 42.67 , £ 45.23 , £ 47.82 , £ 53.16 , £ 58.30 , £ 63.45 , £ 68.60 , £ 73.73 , £ 78.88 , £ 84.69 , £ 89.84 , £ 94.98 , £ 100.13 , £ 105.28 , £ 110.41 , £ 115.56 , £ 120.71 , £ 125.85 , £ 131.00 , £ 182.98 , £ 234.44 ,,
Egypt,DDU Courier, £ 23.72 , £ 24.39 , £ 25.24 , £ 25.93 , £ 26.60 , £ 27.29 , £ 27.98 , £ 28.65 , £ 30.13 , £ 31.50 , £ 32.86 , £ 34.22 , £ 35.57 , £ 36.95 , £ 38.71 , £ 40.07 , £ 41.43 , £ 42.79 , £ 44.16 , £ 45.52 , £ 46.88 , £ 48.23 , £ 49.61 , £ 50.97 , £ 64.91 , £ 78.52 ,,
El Salvador,DDU Courier, £ 33.74 , £ 36.44 , £ 39.32 , £ 42.04 , £ 44.74 , £ 47.46 , £ 50.16 , £ 52.88 , £ 58.42 , £ 63.83 , £ 69.25 , £ 74.67 , £ 80.09 , £ 85.51 , £ 91.35 , £ 96.77 , £ 102.19 , £ 107.61 , £ 113.02 , £ 118.44 , £ 123.86 , £ 129.28 , £ 134.70 , £ 140.12 , £ 194.65 , £ 248.84 ,,
Equatorial Guinea,DDU Courier, £ 16.27 , £ 17.91 , £ 19.71 , £ 21.35 , £ 22.99 , £ 24.63 , £ 26.26 , £ 27.90 , £ 31.29 , £ 34.57 , £ 37.84 , £ 41.13 , £ 44.40 , £ 47.68 , £ 51.34 , £ 54.62 , £ 57.89 , £ 61.18 , £ 64.45 , £ 67.73 , £ 71.00 , £ 74.27 , £ 77.55 , £ 80.82 , £ 113.91 , £ 146.67 ,,
Eritrea,DDU Courier, £ 31.16 , £ 32.50 , £ 34.01 , £ 35.34 , £ 36.66 , £ 37.99 , £ 39.34 , £ 40.67 , £ 43.46 , £ 46.13 , £ 48.79 , £ 51.46 , £ 54.12 , £ 56.79 , £ 59.88 , £ 62.55 , £ 65.21 , £ 67.88 , £ 70.54 , £ 73.21 , £ 75.88 , £ 78.54 , £ 81.21 , £ 83.87 , £ 110.87 , £ 137.54 ,,
Ethiopia,DDU Courier, £ 30.77 , £ 31.86 , £ 33.10 , £ 34.17 , £ 35.25 , £ 36.34 , £ 37.41 , £ 38.50 , £ 40.77 , £ 42.93 , £ 45.10 , £ 47.26 , £ 49.41 , £ 51.58 , £ 54.13 , £ 56.30 , £ 58.46 , £ 60.61 , £ 62.77 , £ 64.94 , £ 67.10 , £ 69.27 , £ 71.42 , £ 73.58 , £ 95.51 , £ 117.13 ,,
Falkland Islands (Malvinas),DDU Courier, £ 20.71 , £ 21.20 , £ 22.00 , £ 22.50 , £ 22.99 , £ 23.50 , £ 23.99 , £ 24.48 , £ 25.69 , £ 26.69 , £ 27.69 , £ 28.68 , £ 29.68 , £ 30.66 , £ 32.39 , £ 33.40 , £ 34.38 , £ 35.38 , £ 36.37 , £ 37.37 , £ 38.37 , £ 39.35 , £ 40.35 , £ 41.34 , £ 51.88 , £ 61.82 ,,
Faroe Islands,DDU Courier, £ 19.42 , £ 27.16 , £ 32.74 , £ 33.51 , £ 34.29 , £ 35.07 , £ 35.84 , £ 36.62 , £ 38.41 , £ 39.96 , £ 41.52 , £ 43.08 , £ 44.64 , £ 46.19 , £ 48.49 , £ 50.04 , £ 51.61 , £ 53.16 , £ 54.71 , £ 56.28 , £ 57.83 , £ 59.40 , £ 60.95 , £ 62.51 , £ 78.67 , £ 94.26 ,,
Fiji,DDU Courier, £ 25.24 , £ 28.77 , £ 32.56 , £ 36.08 , £ 39.62 , £ 43.14 , £ 46.67 , £ 50.19 , £ 57.43 , £ 64.49 , £ 71.54 , £ 78.58 , £ 85.65 , £ 92.69 , £ 100.38 , £ 107.44 , £ 114.49 , £ 121.53 , £ 128.59 , £ 135.64 , £ 142.70 , £ 149.75 , £ 156.79 , £ 163.86 , £ 234.89 , £ 305.39 ,,
French Guiana,DDU Courier, £ 14.66 , £ 20.24 , £ 26.11 , £ 31.69 , £ 37.28 , £ 42.85 , £ 48.43 , £ 54.01 , £ 72.43 , £ 80.47 , £ 88.48 , £ 96.50 , £ 104.53 , £ 112.55 , £ 121.29 , £ 129.31 , £ 137.34 , £ 145.36 , £ 153.38 , £ 161.41 , £ 169.42 , £ 177.44 , £ 185.46 , £ 193.49 , £ 274.28 , £ 354.49 ,,
French Polynesia,DDU Courier, £ 30.13 , £ 33.40 , £ 36.93 , £ 40.20 , £ 43.47 , £ 46.74 , £ 50.01 , £ 53.28 , £ 60.01 , £ 66.57 , £ 73.11 , £ 79.64 , £ 86.18 , £ 92.72 , £ 99.90 , £ 106.46 , £ 112.99 , £ 119.53 , £ 126.07 , £ 132.61 , £ 139.16 , £ 145.70 , £ 152.24 , £ 158.78 , £ 224.70 , £ 290.12 ,,
Gabon,DDU Courier, £ 25.59 , £ 26.84 , £ 28.27 , £ 29.53 , £ 30.78 , £ 32.05 , £ 33.31 , £ 34.56 , £ 37.20 , £ 39.72 , £ 42.23 , £ 44.76 , £ 47.28 , £ 49.79 , £ 52.73 , £ 55.25 , £ 57.76 , £ 60.28 , £ 62.80 , £ 65.31 , £ 67.84 , £ 70.34 , £ 72.87 , £ 75.37 , £ 100.89 , £ 126.06 ,,
Gambia,DDU Courier, £ 28.74 , £ 30.31 , £ 32.04 , £ 33.60 , £ 35.19 , £ 36.75 , £ 38.32 , £ 39.89 , £ 43.14 , £ 46.29 , £ 49.43 , £ 52.56 , £ 55.71 , £ 58.85 , £ 62.39 , £ 65.52 , £ 68.66 , £ 71.81 , £ 74.94 , £ 78.09 , £ 81.23 , £ 84.36 , £ 87.51 , £ 90.65 , £ 122.37 , £ 153.78 ,,
Georgia,DDU Courier, £ 28.02 , £ 28.87 , £ 29.89 , £ 30.74 , £ 31.59 , £ 32.44 , £ 33.31 , £ 34.16 , £ 35.98 , £ 37.68 , £ 39.38 , £ 41.10 , £ 42.80 , £ 44.50 , £ 46.59 , £ 48.31 , £ 50.01 , £ 51.71 , £ 53.43 , £ 55.13 , £ 56.83 , £ 58.53 , £ 60.25 , £ 61.95 , £ 79.33 , £ 96.39 ,,
Ghana,DDU Courier, £ 33.44 , £ 34.28 , £ 35.26 , £ 36.10 , £ 36.92 , £ 37.75 , £ 38.59 , £ 39.41 , £ 41.19 , £ 42.86 , £ 44.52 , £ 46.19 , £ 47.85 , £ 49.50 , £ 51.55 , £ 53.22 , £ 54.88 , £ 56.53 , £ 58.21 , £ 59.86 , £ 61.52 , £ 63.19 , £ 64.85 , £ 66.52 , £ 83.45 , £ 100.08 ,,
Gibraltar,DDU Courier, £ 9.91 , £ 12.03 , £ 14.33 , £ 16.45 , £ 18.56 , £ 20.68 , £ 22.80 , £ 24.92 , £ 38.40 , £ 40.05 , £ 41.70 , £ 43.35 , £ 45.01 , £ 46.65 , £ 48.74 , £ 50.38 , £ 52.04 , £ 53.70 , £ 55.36 , £ 57.00 , £ 58.65 , £ 60.31 , £ 61.95 , £ 63.61 , £ 80.48 , £ 97.01 ,,
Greenland,DDU Courier, £ 23.48 , £ 31.65 , £ 32.74 , £ 33.51 , £ 34.29 , £ 35.07 , £ 35.84 , £ 36.62 , £ 38.41 , £ 39.96 , £ 41.52 , £ 43.08 , £ 44.64 , £ 46.19 , £ 48.49 , £ 50.04 , £ 51.61 , £ 53.16 , £ 54.71 , £ 56.28 , £ 57.83 , £ 59.40 , £ 60.95 , £ 62.51 , £ 78.67 , £ 94.26 ,,
Grenada,DDU Courier, £ 21.17 , £ 23.51 , £ 26.10 , £ 28.42 , £ 30.77 , £ 33.10 , £ 35.43 , £ 37.77 , £ 42.62 , £ 47.29 , £ 51.95 , £ 56.62 , £ 61.30 , £ 65.97 , £ 71.25 , £ 75.93 , £ 80.58 , £ 85.26 , £ 89.93 , £ 94.60 , £ 99.26 , £ 103.93 , £ 108.61 , £ 113.26 , £ 160.45 , £ 207.13 ,,
Guadeloupe,DDU Courier, £ 12.35 , £ 15.62 , £ 19.18 , £ 22.44 , £ 25.71 , £ 28.98 , £ 32.23 , £ 35.50 , £ 50.44 , £ 54.07 , £ 57.70 , £ 61.33 , £ 64.94 , £ 68.57 , £ 72.93 , £ 76.54 , £ 80.17 , £ 83.79 , £ 87.42 , £ 91.03 , £ 94.66 , £ 98.29 , £ 101.90 , £ 105.53 , £ 142.34 , £ 178.58 ,,
Guam,DDU Courier, £ 37.17 , £ 40.52 , £ 44.13 , £ 47.46 , £ 50.80 , £ 54.15 , £ 57.49 , £ 60.83 , £ 67.85 , £ 74.55 , £ 81.26 , £ 87.97 , £ 94.68 , £ 101.39 , £ 108.77 , £ 115.47 , £ 122.19 , £ 128.89 , £ 135.61 , £ 142.31 , £ 149.02 , £ 155.73 , £ 162.44 , £ 169.16 , £ 236.78 , £ 303.87 ,,
Guatemala,DDU Courier, £ 17.24 , £ 18.45 , £ 19.83 , £ 21.03 , £ 22.24 , £ 23.45 , £ 24.65 , £ 25.86 , £ 28.39 , £ 30.80 , £ 33.22 , £ 35.62 , £ 38.04 , £ 40.44 , £ 43.28 , £ 45.70 , £ 48.10 , £ 50.50 , £ 52.92 , £ 55.33 , £ 57.74 , £ 60.15 , £ 62.57 , £ 64.97 , £ 89.41 , £ 113.50 ,,
Guinea,DDU Courier, £ 28.62 , £ 30.29 , £ 32.14 , £ 33.83 , £ 35.50 , £ 37.19 , £ 38.87 , £ 40.55 , £ 44.04 , £ 47.40 , £ 50.76 , £ 54.13 , £ 57.49 , £ 60.85 , £ 64.61 , £ 67.98 , £ 71.34 , £ 74.70 , £ 78.08 , £ 81.44 , £ 84.79 , £ 88.17 , £ 91.53 , £ 94.89 , £ 128.85 , £ 162.48 ,,
Guinea-Bissau,DDU Courier, £ 28.83 , £ 31.25 , £ 33.95 , £ 36.37 , £ 38.78 , £ 41.20 , £ 43.62 , £ 46.04 , £ 51.09 , £ 55.92 , £ 60.76 , £ 65.60 , £ 70.43 , £ 75.27 , £ 80.81 , £ 85.65 , £ 90.48 , £ 95.32 , £ 100.16 , £ 104.99 , £ 109.83 , £ 114.67 , £ 119.50 , £ 124.35 , £ 173.29 , £ 221.66 ,,
Guyana,DDU Courier, £ 42.90 , £ 45.22 , £ 47.83 , £ 50.15 , £ 52.46 , £ 54.77 , £ 57.09 , £ 59.40 , £ 64.25 , £ 68.88 , £ 73.49 , £ 78.12 , £ 82.75 , £ 87.38 , £ 92.74 , £ 97.36 , £ 101.99 , £ 106.62 , £ 111.25 , £ 115.88 , £ 120.50 , £ 125.13 , £ 129.76 , £ 134.39 , £ 181.23 , £ 227.51 ,,
Haiti,DDU Courier, £ 22.03 , £ 24.75 , £ 27.75 , £ 30.48 , £ 33.22 , £ 35.95 , £ 38.68 , £ 41.41 , £ 47.05 , £ 52.52 , £ 57.98 , £ 63.45 , £ 68.91 , £ 74.37 , £ 80.48 , £ 85.94 , £ 91.41 , £ 96.86 , £ 102.32 , £ 107.78 , £ 113.25 , £ 118.71 , £ 124.18 , £ 129.64 , £ 184.77 , £ 239.39 ,,
Honduras,DDU Courier, £ 28.44 , £ 30.98 , £ 33.77 , £ 36.29 , £ 38.83 , £ 41.37 , £ 43.90 , £ 46.43 , £ 51.68 , £ 56.76 , £ 61.82 , £ 66.89 , £ 71.96 , £ 77.03 , £ 82.72 , £ 87.79 , £ 92.86 , £ 97.93 , £ 102.99 , £ 108.07 , £ 113.13 , £ 118.20 , £ 123.27 , £ 128.34 , £ 179.52 , £ 230.20 ,,
"Hong Kong SAR, China",DDU Courier, £ 8.12 , £ 10.00 , £ 12.03 , £ 13.91 , £ 15.79 , £ 17.68 , £ 19.56 , £ 21.44 , £ 45.91 , £ 47.73 , £ 49.55 , £ 51.37 , £ 53.19 , £ 55.00 , £ 57.19 , £ 59.01 , £ 60.83 , £ 62.66 , £ 64.48 , £ 66.30 , £ 68.12 , £ 69.93 , £ 71.75 , £ 73.57 , £ 92.06 , £ 110.26 ,,
Iceland,DDU Courier, £ 11.35 , £ 14.33 , £ 17.48 , £ 20.47 , £ 23.47 , £ 26.45 , £ 29.44 , £ 32.42 , £ 39.95 , £ 41.26 , £ 42.56 , £ 43.88 , £ 45.19 , £ 46.49 , £ 48.19 , £ 49.50 , £ 50.80 , £ 52.12 , £ 53.43 , £ 54.73 , £ 56.04 , £ 57.36 , £ 58.65 , £ 59.97 , £ 73.36 , £ 86.45 ,,
India,DDU Courier, £ 7.79 , £ 9.78 , £ 11.93 , £ 13.91 , £ 15.90 , £ 17.87 , £ 19.27 , £ 19.96 , £ 21.47 , £ 22.84 , £ 24.21 , £ 25.60 , £ 26.98 , £ 28.36 , £ 30.16 , £ 31.53 , £ 32.90 , £ 34.29 , £ 35.66 , £ 37.04 , £ 38.43 , £ 39.80 , £ 41.19 , £ 42.56 , £ 56.68 , £ 70.46 ,,
Indonesia,DDU Courier, £ 9.33 , £ 14.91 , £ 20.65 , £ 26.23 , £ 27.86 , £ 28.65 , £ 29.44 , £ 30.23 , £ 31.92 , £ 33.48 , £ 35.07 , £ 36.65 , £ 38.22 , £ 39.80 , £ 41.74 , £ 43.32 , £ 44.91 , £ 46.47 , £ 48.06 , £ 49.64 , £ 51.21 , £ 52.79 , £ 54.35 , £ 55.94 , £ 72.00 , £ 87.78 ,,
Iraq,DDU Courier, £ 19.15 , £ 19.87 , £ 20.77 , £ 21.48 , £ 22.20 , £ 22.93 , £ 23.65 , £ 24.36 , £ 25.93 , £ 27.38 , £ 28.81 , £ 30.25 , £ 31.69 , £ 33.13 , £ 34.99 , £ 36.44 , £ 37.87 , £ 39.32 , £ 40.75 , £ 42.19 , £ 43.64 , £ 45.07 , £ 46.52 , £ 47.95 , £ 62.69 , £ 77.09 ,,
Israel,DDP Shop, £ 7.58 , £ 7.58 , £ 8.75 , £ 9.43 , £ 10.46 , £ 11.17 , £ 12.20 , £ 12.88 , £ 14.70 , £ 16.44 , £ 18.17 , £ 19.88 , £ 21.62 , £ 23.35 , £ 25.39 , £ 27.11 , £ 28.84 , £ 30.57 , £ 32.29 , £ 34.02 , £ 35.75 , £ 37.47 , £ 39.20 , £ 40.92 , £ 58.45 , £ 75.72 ,,
Israel,DDU Shop, £ 7.58 , £ 7.58 , £ 8.75 , £ 9.43 , £ 10.46 , £ 11.17 , £ 12.20 , £ 12.88 , £ 14.70 , £ 16.44 , £ 18.17 , £ 19.88 , £ 21.62 , £ 23.35 , £ 25.39 , £ 27.11 , £ 28.84 , £ 30.57 , £ 32.29 , £ 34.02 , £ 35.75 , £ 37.47 , £ 39.20 , £ 40.92 , £ 58.45 , £ 75.72 ,,
Ivory Coast,DDU Courier, £ 21.30 , £ 22.93 , £ 24.74 , £ 26.38 , £ 28.01 , £ 29.65 , £ 31.29 , £ 32.92 , £ 36.32 , £ 39.59 , £ 42.87 , £ 46.14 , £ 49.43 , £ 52.70 , £ 56.37 , £ 59.64 , £ 62.92 , £ 66.19 , £ 69.48 , £ 72.75 , £ 76.03 , £ 79.30 , £ 82.57 , £ 85.85 , £ 118.94 , £ 151.69 ,,
Jamaica,DDU Courier, £ 30.81 , £ 33.28 , £ 36.02 , £ 38.50 , £ 40.98 , £ 43.44 , £ 45.92 , £ 48.40 , £ 53.55 , £ 58.49 , £ 63.45 , £ 68.40 , £ 73.36 , £ 78.30 , £ 83.90 , £ 88.85 , £ 93.80 , £ 98.75 , £ 103.71 , £ 108.67 , £ 113.61 , £ 118.56 , £ 123.52 , £ 128.46 , £ 178.50 , £ 228.02 ,,
Japan,DDU Courier, £ 8.18 , £ 10.64 , £ 13.26 , £ 15.72 , £ 18.18 , £ 20.65 , £ 23.11 , £ 23.95 , £ 25.53 , £ 27.02 , £ 28.50 , £ 29.99 , £ 31.47 , £ 32.95 , £ 34.78 , £ 36.28 , £ 37.75 , £ 39.25 , £ 40.73 , £ 42.20 , £ 43.70 , £ 45.17 , £ 46.67 , £ 48.14 , £ 63.27 , £ 78.11 , £ -   , £ -   
