Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Ireland,DDP Courier, £ 6.45 , £ 6.45 , £ 6.82 , £ 6.82 , £ 6.82 , £ 6.82 , £ 6.82 , £ 6.82 , £ 7.11 , £ 7.11 , £ 7.11 , £ 7.11 , £ 7.11 , £ 7.11 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 8.03 , £ 9.46 , £ 9.82 , £ 11.55 , £ 11.55 
Italy,DDP Courier, £ 8.14 , £ 8.14 , £ 8.76 , £ 8.76 , £ 8.76 , £ 8.76 , £ 8.76 , £ 8.76 , £ 9.76 , £ 9.76 , £ 9.76 , £ 9.76 , £ 9.76 , £ 9.76 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 13.42 , £ 17.99 , £ 17.99 , £ 24.66 , £ 24.66 
Latvia,DDP Courier, £ 11.36 , £ 11.36 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 22.62 , £ 22.62 , £ 28.19 , £ 28.19 
Lithuania,DDP Courier, £ 11.36 , £ 11.36 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 22.62 , £ 22.62 , £ 28.19 , £ 28.19 
Luxembourg,DDP Courier, £ 8.45 , £ 8.45 , £ 8.82 , £ 8.82 , £ 8.90 , £ 8.90 , £ 8.99 , £ 8.99 , £ 9.35 , £ 9.35 , £ 9.63 , £ 9.63 , £ 9.97 , £ 9.97 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 11.44 , £ 14.24 , £ 15.59 , £ 17.29 , £ 17.29 
Malta,DDP Courier, £ 10.54 , £ 12.88 , £ 15.48 , £ 17.82 , £ 20.17 , £ 22.51 , £ 24.87 , £ 26.90 , £ 29.22 , £ 31.36 , £ 33.50 , £ 35.65 , £ 37.78 , £ 39.92 , £ 42.67 , £ 44.82 , £ 46.95 , £ 49.10 , £ 51.23 , £ 53.37 , £ 55.52 , £ 57.65 , £ 59.80 , £ 61.94 , £ 83.84 , £ 105.26 , £ 127.79 , £ 149.21 
Netherlands,DDP Courier, £ 7.91 , £ 7.91 , £ 8.17 , £ 8.17 , £ 8.17 , £ 8.17 , £ 8.17 , £ 8.17 , £ 8.36 , £ 8.36 , £ 8.36 , £ 8.36 , £ 8.36 , £ 8.36 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.02 , £ 9.54 , £ 9.91 , £ 28.44 , £ 28.44 
Poland,DDP Courier, £ 8.09 , £ 8.09 , £ 8.76 , £ 8.76 , £ 8.76 , £ 8.76 , £ 8.76 , £ 8.76 ,,,,,,,,,,,,,,,,,,,,
Portugal,DDP Courier, £ 7.14 , £ 7.14 , £ 7.87 , £ 8.63 , £ 8.63 , £ 8.63 , £ 8.72 , £ 8.72 , £ 9.26 , £ 10.15 , £ 11.05 , £ 11.05 , £ 14.20 , £ 14.20 , £ 16.00 , £ 16.00 , £ 16.00 , £ 16.00 , £ 16.00 , £ 16.00 , £ 20.93 , £ 20.93 , £ 20.93 , £ 20.93 , £ 27.69 , £ 36.37 , £ 39.72 , £ 65.88 
Portugal - Portuguese Islands,DDP Courier, £ 23.80 , £ 26.20 , £ 26.93 , £ 31.47 , £ 31.47 , £ 36.13 , £ 45.44 , £ 45.44 , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   , £ -   
Romania,DDP Courier, £ 8.97 , £ 8.97 , £ 9.66 , £ 9.66 , £ 9.82 , £ 9.82 , £ 9.82 , £ 9.82 , £ 10.88 , £ 10.88 , £ 10.88 , £ 10.88 , £ 10.88 , £ 10.88 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 14.82 , £ 21.90 , £ 21.90 , £ 24.99 , £ 24.99 
Slovakia,DDP Courier, £ 7.58 , £ 7.58 , £ 8.27 , £ 8.27 , £ 8.27 , £ 8.27 , £ 8.27 , £ 8.27 , £ 9.66 , £ 9.66 , £ 9.66 , £ 9.66 , £ 9.66 , £ 9.66 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 12.81 , £ 19.77 , £ 19.77 , £ 22.86 , £ 22.86 
Slovenia,DDP Courier, £ 11.02 , £ 11.02 , £ 11.69 , £ 11.69 , £ 12.78 , £ 12.78 , £ 12.78 , £ 12.78 , £ 13.27 , £ 13.27 , £ 13.27 , £ 13.27 , £ 13.27 , £ 13.27 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 16.68 , £ 23.66 , £ 23.66 , £ 26.75 , £ 26.75 
